Genus	2nd_element	3rd_element	4th_element	PAML_tag	Old_tag
Colossendeis	leptorhynchus	IU.2008.20651		Col_lep_IU200820651	Colossendeis_leptorhynchus_IU.2008.20651
Colossendeis	macerrima	IU.2008.20494		Col_mac_IU200820494	Colossendeis_macerrima_IU.2008.20494
Colossendeis	macerrima	IU.2008.20504		Col_mac_IU200820504	Colossendeis_macerrima_IU.2008.20504
Colossendeis	macerrima	IU.2011.1642		Col_mac_IU20111642	Colossendeis_macerrima_IU.2011.1642
Colossendeis	macerrima	IU.2011.3664		Col_mac_IU20113664	Colossendeis_macerrima_IU.2011.3664
Colossendeis	megalonyx	PYC027		Col_meg_PYC027	Colossendeis_megalonyx_PYC027
Colossendeis	minor	IU.2008.20602		Col_min_IU200820602	Colossendeis_minor_IU.2008.20602
Colossendeis	pipetta	IU.2008.20509		Col_pip_IU200820509	Colossendeis_pipetta_IU.2008.20509
Colossendeis	sp.	IU.2007.212		Col_sp_IU2007212	Colossendeis_sp._IU.2007.212
Colossendeis	sp.	IU.2016.1412		Col_sp_IU20161412	Colossendeis_sp._IU.2016.1412
Colossendeis	sp.	IU.2016.1419		Col_sp_IU20161419	Colossendeis_sp._IU.2016.1419
Colossendeis	sp.	PYC123		Col_sp_PYC123	Colossendeis_sp._PYC123
Colossendeis	tenuipedis	IU.2007.130		Col_ten_IU2007130	Colossendeis_tenuipedis_IU.2007.130
Cryptocellus	sp.		Ricinulei_	Cry_sp_Ricinulei	Cryptocellus_sp.__Ricinulei_
Damon	diadema		Amblypigi_	Dam_dia_Amblypigi	Damon_diadema__Amblypigi_
Decolopoda	australis	IU.2007.219		Dec_aus_IU2007219	Decolopoda_australis_IU.2007.219
Endeis	aff.	meridionalis	IU.2016.1142	End_affmer_IU20161142	Endeis_aff._meridionalis_IU.2016.1142
Endeis	australis	IU.2007.207		End_aus_IU2007207	Endeis_australis_IU.2007.207
Endeis	australis	PYC125		End_aus_PYC125	Endeis_australis_PYC125
Endeis	flaccida	IU.2016.840		End_fla_IU2016840	Endeis_flaccida_IU.2016.840
